date_range,title,url
06/03/2024 - 30/04/2024,"Tiết kiệm 20.000đ thanh toán Điện, Nước qua VNPT Money",https://vnptpay.vn/web/khuyenmai/diennuoc0324
01/03/2024 - 31/03/2024,KHUYẾN CÁO PHÒNG TRÁNH LỪA ĐẢO TRONG GIAO DỊCH ĐIỆN TỬ,https://vnptpay.vn/web/khuyenmai/khuyencaogd
08/03/2024 - 31/05/2024,ƯU ĐÃI 20.000Đ THANH TOÁN HỌC PHÍ QUA VNPT MONEY,https://vnptpay.vn/web/khuyenmai/uudaihocphi20K
04/03/2024 - 08/03/2024,Bamboo - Ưu đãi mừng ngày Quốc tế phụ nữ 8/3,https://vnptpay.vn/web/khuyenmai/bamboo0803
01/03/2024 - 31/05/2024,Ưu đãi cực khủng - Quét bay Hóa đơn,https://vnptpay.vn/web/khuyenmai/hoadonvnpt05
01/02/2024 - 29/02/2024,Tạo QR Lì xì bằng công nghệ AI –  Tạo “Một tôi mới ting” cùng VNPT Money,https://vnptpay.vn/web/khuyenmai/lixiaituenhantao
01/03/2024,Siêu Tích Luỹ - Điều chỉnh lợi nhuận tháng 03/2024,https://vnptpay.vn/web/khuyenmai/sieutichluydc0324
01/03/2024 - 31/03/2024,"QUÀ TẶNG BẠN MỚI – LỢI NHUẬN TỚI 6,8",https://vnptpay.vn/web/khuyenmai/sieutichluy0324
01/03/2024 - 31/03/2024,LỢI ÍCH KÉP: NẠP DẾ VỪA CHIẾT KHẤU VỪA SINH LỜI,https://vnptpay.vn/web/khuyenmai/tichluynapdienthoai
01/02/2024 - 29/02/2024,QUÀ TẶNG BẠN MỚI – LỢI NHUẬN TỚI 8%,https://vnptpay.vn/web/khuyenmai/sieutichluy0224
24/01/2024 - 29/02/2024,"Đón Tết Giáp Thìn, hóa thân Rồng Du Ký, săn tiền tỷ cùng VNPT Money",https://vnptpay.vn/web/khuyenmai/rongdukysantienty
25/01/2024 - 24/02/2024,VIETJET MANG HƯƠNG SẮC TẾT VỀ NHÀ,https://vnptpay.vn/web/khuyenmai/vietjetmaidao
26/01/2024 - 29/02/2024,"Tết hay đi, đã có VNPT Money",https://vnptpay.vn/web/khuyenmai/uudaitet
09/01/2024,SIÊU TÍCH LŨY ĐIỀU CHỈNH LỢI NHUẬN ,https://vnptpay.vn/web/khuyenmai/sieutichluydieuchinh2
10/01/2024 - 31/01/2024,QUÀ TẶNG BẠN MỚI – LỢI NHUẬN TỚI 8%,https://vnptpay.vn/web/khuyenmai/sieutichluy8
01/01/2024 - 29/02/2024,Tặng 10.000đ nạp điện thoại VinaPhone,https://vnptpay.vn/web/khuyenmai/napdt10k
21/12/2023 - 21/01/2024,Điểm danh 5 giây – Nhận ngay quà khủng,https://vnptpay.vn/web/khuyenmai/diemdanh5s
20/12/2023 - 29/02/2024,THANH TOÁN RẢNH TAY NHẬN NGAY ƯU ĐÃI ĐIỆN - NƯỚC TRÊN VNPT MONEY,https://vnptpay.vn/web/khuyenmai/autopayDN
22/12/2023 - 09/02/2024,VNPT Money và Truyền hình MyTV tung khuyến mại khủng cuối năm: Tặng gói đặc sắc HBO GO dùng thử 30 ngày,https://vnptpay.vn/web/khuyenmai/hbo30ngay
22/12/2023 - 31/12/2023,"BAY QUỐC TẾ, ƯU ĐÃI CỰC MÊ TỪ VIETJET AIR: GIẢM ĐẾN 15% TRÊN VNPT MONEY",https://vnptpay.vn/web/khuyenmai/vietjettet
18/12/2023 - 28/02/2024,BAY TẾT CÙNG BAMBOO VỚI GIÁ CHỈ TỪ 19.000Đ,https://vnptpay.vn/web/khuyenmai/bambootet
04/01/2024 - 29/02/2024,TẾT RỒNG DU KÝ SĂN TIỀN TỶ CÙNG VNPT MONEY,https://km.vnptmoney.vn/Tet2024
10/11/2023 - 29/02/2024,Ưu đãi cực khủng - Quét bay Hóa đơn,https://vnptpay.vn/web/khuyenmai/hoadon0224
25/12/2023 - 29/02/2024,Siêu bão Vàng – Ngàn may mắn với kho giải thưởng gần 7 tỷ đồng từ VinaPhone,https://vnptpay.vn/web/khuyenmai/vinaphonesieubaovang
15/12/2023 - 09/04/2024,VNPT Money và MyTV TẶNG 100K - Thả ga HBO GO 3 tháng,https://vnptpay.vn/web/khuyenmai/hbogo
01/12/2023 - 31/12/2023,THÁNG 12 - ƯU ĐÃI NGẬP TRÀN LÊN TỚI 500.000đ TRÊN VNPT MONEY,https://vnptpay.vn/web/khuyenmai/tonghopkm12
01/03/2024 - 31/03/2024,Khuyến mại cực hot: Giảm 50% gói cước Ứng dụng MyTV trong tháng 3,https://vnptpay.vn/web/khuyenmai/mytv122023
07/12/2023 - 26/12/2023,Tặng 300K mua vé máy bay qua VNPT Money,https://vnptpay.vn/web/khuyenmai/vmb300k
01/12/2023 - 31/12/2023,QUÀ TẶNG BẠN MỚI – NHÂN ĐÔI LỢI NHUẬN,https://vnptpay.vn/web/khuyenmai/sieutichluy12
10/11/2023 - 31/12/2023,Ưu đãi cực khủng - Quét bay Hóa đơn,https://vnptpay.vn/web/khuyenmai/hoadonthang11
07/11/2023 - 30/11/2023,GIẢM 50% GÓI CƯỚC ỨNG DỤNG MYTV TRONG THÁNG 11,https://vnptpay.vn/web/khuyenmai/mytv_11
01/11/2023 - 30/11/2023,KHÁM PHÁ CHÙM ƯU ĐÃI KHỦNG TRỊ GIÁ TỚI 700k++ TRÊN VNPT MONEY,https://vnptpay.vn/web/khuyenmai/uudaithang11
06/11/2023 - 31/12/2023,HƯỚNG DẪN THANH TOÁN HÓA ĐƠN VNPT QUA VIETQR,https://vnptpay.vn/web/khuyenmai/hdvnptvietqr
15/11/2023 - 30/11/2023,QUÀ TẶNG BẠN MỚI – NHÂN ĐÔI LỢI NHUẬN,https://vnptpay.vn/web/khuyenmai/sieutichluy11
10/11/2023 - 30/11/2023,Giảm tới 600.000đ mua Vé máy bay trên VNPT Money,https://vnptpay.vn/web/khuyenmai/maybay600k
01/12/2023,SIÊU TÍCH LŨY - ĐIỀU CHỈNH LỢI NHUẬN,https://vnptpay.vn/web/khuyenmai/sieutichluyloinhuan
10/11/2023 - 30/11/2023,Đăng ký vay ngay - Trao tay tới 20 triệu ,https://vnptpay.vn/web/khuyenmai/shb20trieu
12/11/2023 - 22/11/2023,GIẢM TỚI 15% VÉ QUỐC TẾ VIETJET – DUY NHẤT TRÊN VNPT MONEY,https://vnptpay.vn/web/khuyenmai/vietjet1123
06/11/2023 - 31/12/2023,THẤU CHI TỨC THÌ – HOÀN TIỀN HẾT Ý,https://vnptpay.vn/web/khuyenmai/hdbank1123
03/11/2023 - 31/12/2023,Tặng 10.000đ nạp điện thoại VinaPhone,https://vnptpay.vn/web/khuyenmai/vina10k
01/11/2023 - 15/12/2023,TIẾT KIỆM LIỀN TAY - NHẬN NGAY LÃI SUẤT ƯU ĐÃI,https://vnptpay.vn/web/khuyenmai/conglaisuat
01/11/2023 - 30/11/2023,GỬI TIẾT KIỆM ONLINE CHỈ TỪ 100.000Đ - NHẬN NGAY LÃI SUẤT KHỦNG TRÊN VNPT MONEY,https://vnptpay.vn/web/khuyenmai/tietkiem_online
27/10/2023 - 20/12/2023,"Tiết kiệm 20.000đ thanh toán Điện, Nước qua VNPT Money",https://vnptpay.vn/web/khuyenmai/diennuoc20k
10/10/2023 - 31/10/2023,VNPT MONEY BỔ SUNG HÌNH THỨC QUÉT MÃ VIETQR KHI THANH TOÁN HỌC PHÍ VNEDU VÀ CÁC DỊCH VỤ HÀNH CHÍNH CÔNG,https://vnptpay.vn/web/khuyenmai/vietqr_edu_hcc
01/10/2023 - 31/10/2023,THÁNG 10 RỰC RỠ VỚI COMBO ƯU ĐÃI KHỦNG TỪ VNPT MONEY,https://vnptpay.vn/web/khuyenmai/tonghop_km10
20/09/2023 - 30/09/2023,QUÀ TẶNG BẠN MỚI – NHÂN ĐÔI LỢI NHUẬN,https://vnptpay.vn/web/khuyenmai/sieutichluy3009
06/10/2023 - 30/11/2023,"Hoàn 30.000đ nạp tài khoản VETC, ePass qua VNPT Money",https://vnptpay.vn/web/khuyenmai/napphi102023
01/10/2023 - 31/10/2023,QUÀ TẶNG BẠN MỚI – NHÂN ĐÔI LỢI NHUẬN,https://vnptpay.vn/web/khuyenmai/sieutichluy3110
06/10/2023 - 28/10/2023,GIẢM 50% GÓI CƯỚC ỨNG DỤNG MYTV TRONG THÁNG 10,https://vnptpay.vn/web/khuyenmai/mytv50
13/09/2023 - 24/09/2023,CÓ HẸN VỚI MÙA THU CÙNG BAMBOO AIRWAYS,https://vnptpay.vn/web/khuyenmai/bamboo1509
13/09/2023,"VNPTMONEY CẢNH BÁO HÀNH VI ĐÁNH BẠC, CÁ ĐỘ QUA VÍ ĐIỆN TỬ",https://vnptpay.vn/web/khuyenmai/canhbao
11/09/2023 - 11/10/2023,TÍCH LŨY NGAY - QUÀ VỀ TAY,https://vnptpay.vn/web/khuyenmai/tichluy0923
05/09/2023 - 30/09/2023,VNPT MONEY BÙNG NỔ ƯU ĐÃI TRÊN LAZADA THÁNG 9,https://vnptpay.vn/web/khuyenmai/lazada0923
06/09/2023 - 31/10/2023,TẶNG 20.000Đ HÓA ĐƠN VNPT,https://vnptpay.vn/web/khuyenmai/hoadonvnpt20k
06/09/2023 - 31/10/2023,ƯU ĐÃI CỰC KHỦNG - QUÉT BAY HÓA ĐƠN,https://vnptpay.vn/web/khuyenmai/hoadont9
05/09/2023 - 30/09/2023,NHIỀU TIỆN ÍCH KHI THANH TOÁN HỌC PHÍ QUA VNPT MONEY,https://vnptpay.vn/web/khuyenmai/namhocmoi
01/09/2023 - 31/10/2023,TẶNG 10.000Đ NẠP ĐIỆN THOẠI VINAPHONE ,https://vnptpay.vn/web/khuyenmai/napvina10K
28/08/2023 - 30/09/2023,THANH TOÁN HỌC PHÍ BMC NHANH VÀ TIỆN VỚI VNPT MONEY,https://vnptpay.vn/web/khuyenmai/bmc
22/08/2023 - 25/09/2023,BAMBOO AIRWAYS GIẢM TỚI 50% HẠNG BUSINESS,https://vnptpay.vn/web/khuyenmai/bamboothuongia
25/08/2023 - 30/11/2023,Ưu đãi 20.000đ thanh toán học phí qua VNPT Money,https://vnptpay.vn/web/khuyenmai/hocphi20k
18/08/2023 - 30/09/2023,BAY QUỐC TẾ CÙNG VNPT MONEY,https://vnptpay.vn/web/khuyenmai/vietjet_quocte
18/08/2023 - 30/09/2023,"""Sinh nhật vui - Khui quà khủng"" - Hàng nghìn phần quà hấp dẫn được tặng vào tài khoản VNPT Money",https://vnptpay.vn/web/khuyenmai/mytv_sn
16/08/2023 - 18/08/2023,VUI SINH NHẬT CÙNG BAMBOO AIRWAYS,https://vnptpay.vn/web/khuyenmai/SNBAV
07/08/2023 - 31/10/2023,THỂ LỆ CHƯƠNG TRÌNH “THẤU CHI TỨC THÌ – HOÀN TIỀN HẾT Ý,https://vnptpay.vn/web/khuyenmai/CTKMHDB
28/07/2023 - 28/07/2023,Giờ Vàng mua Vé máy bay trên VNPT Money,https://vnptpay.vn/web/khuyenmai/HOANTIEN
28/07/2023 - 15/08/2023,"Nộp phí xét tuyển đại học, cao đẳng tiện lợi bằng Viet QR với VNPT Money",https://vnptpay.vn/web/khuyenmai/DVC2023
01/08/2023 - 15/08/2023,THANH TOÁN KHÓ – CÓ VAY THẤU CHI LO,https://vnptpay.vn/web/khuyenmai/VayTC
01/07/2023 - 31/12/2023,THỂ LỆ CHƯƠNG TRÌNH “HAPPY HOURS”,https://vnptpay.vn/web/khuyenmai/VNAHPH
01/08/2023 - 30/11/2023,Mở VNPT Money – Tặng 3 voucher khuyến mại,https://vnptpay.vn/web/khuyenmai/MOMOI45K
20/07/2023 - 05/08/2023, VI VU BAMBOO – BAY VÔ TƯ,https://vnptpay.vn/web/khuyenmai/BAVVIVU
20/07/2023 - 20/08/2023,Nạp điện thoại - Hoàn tiền tới 1%,https://vnptpay.vn/web/khuyenmai/TopUp_HoanTien2023
15/06/2023,THÊM PHƯƠNG THỨC THANH TOÁN HÓA ĐƠN ĐIỆN CHO KHÁCH HÀNG CỦA VNPT MONEY,https://vnptpay.vn/web/khuyenmai/thequocte_062023
01/07/2023 - 10/07/2023,VI VU HÈ CÙNG VIETJET AIR: GIẢM ĐẾN 15% TRÊN VNPT MONEY,https://vnptpay.vn/web/khuyenmai/VIETJET_072023
01/05/2023 - 31/05/2023,Ưu đãi mua khoá học ELSA qua VNPT Money,https://vnptpay.vn/web/khuyenmai/ELSA_052023
04/05/2023 - 18/05/2023,THỂ LỆ CHƯƠNG TRÌNH “CHILL NGÀY HÈ – BAY SIÊU DỄ”,https://vnptpay.vn/web/khuyenmai/BambooChillhe
04/05/2023 - 10/05/2023,THỂ LỆ CHƯƠNG TRÌNH “ƯU ĐÃI ĐƯỜNG BAY HÀ NỘI – HỒ CHÍ MINH”,https://vnptpay.vn/web/khuyenmai/BambooHNHCM
22/03/2023,SĂN VÉ GIỜ VÀNG - HÀNG NGÀN ƯU ĐÃI,https://vnptpay.vn/web/khuyenmai/vmb_phidv
01/05/2023 - 15/05/2023,"SIÊU TÍCH LUỸ MỚI, TẶNG QUÀ TỚI 30K",https://vnptpay.vn/web/khuyenmai/sieutichluy
10/04/2023 - 23/04/2023,BAY LỄ CHÀO HÈ – NGẬP TRÀN ƯU ĐÃI,https://vnptpay.vn/web/khuyenmai/bamboochaohe
12/04/2023 - 31/08/2023,Tặng 10.000đ nạp điện thoại VinaPhone,https://vnptpay.vn/web/khuyenmai/topup_042023
03/04/2023 - 09/04/2023,THỂ LỆ CHƯƠNG TRÌNH “KÍCH BÁN GIAI ĐOẠN BAY LỄ 30/4 - 1/5,https://vnptpay.vn/web/khuyenmai/bamboogiam10
01/04/2023 - 31/07/2023,CÁC BƯỚC ĐỂ NHẬN VOUCHER 45K TỪ CHƯƠNG TRÌNH  “MỞ NHANH TAY – QUÀ HAY NHẬN TRỌN”,https://vnptpay.vn/web/khuyenmai/HDmomoi
03/04/2023 - 09/04/2023,THỂ LỆ CHƯƠNG TRÌNH “BAY LỄ CHÀO HÈ”,https://vnptpay.vn/web/khuyenmai/bamboo_042023
14/04/2023 - 30/06/2023,Chơi game mê say hoàn ngay tới 50% qua VNPT Money,https://vnptpay.vn/web/khuyenmai/Game_042023
01/04/2023,Mua sắm tiết kiệm - Trải nghiệm dễ dàng với Tiki trên VNPT Money,https://vnptpay.vn/web/khuyenmai/Tiki_042023
03/04/2023 - 31/05/2023,VNPT MONEY x LAZADA: NGỒI MÁT MỞ APP SĂN VOUCHER 50%,https://vnptpay.vn/web/khuyenmai/lazada_042023
01/07/2023 - 31/03/2024,Khuyến khích nhân viên mời khách hàng thanh toán hóa đơn VNPT qua VNPT Money,https://vnptpay.vn/web/khuyenmai/ctkk_042023
01/04/2023 - 31/07/2023,Mở VNPT Money – Tặng 3 voucher khuyến mại,https://vnptpay.vn/web/khuyenmai/momoi_032023
28/03/2023 - 02/04/2023,THỂ LỆ CHƯƠNG TRÌNH “CHÀO HÈ 2023”,https://vnptpay.vn/web/khuyenmai/bamboo_chaohe
28/03/2023 - 31/03/2023,THỂ LỆ CHƯƠNG TRÌNH “BAY PHẢN LỰC THẲNG TỚI CÀ MAU”,https://vnptpay.vn/web/khuyenmai/bamboo_camau
21/03/2023,Thêm tiện ích cho khách hàng VNPT Money khi thanh toán học phí vnEdu,https://vnptpay.vn/web/khuyenmai/vibhocphi
22/03/2023 - 26/03/2023,VI VU HÈ – SĂN ƯU ĐÃI 5% VIETJET AIR DUY NHẤT TRÊN VNPT MONEY,https://vnptpay.vn/web/khuyenmai/VJ_032023
14/02/2023,"CÔNG BỐ KẾT QUẢ CHƯƠNG TRÌNH ""CHẠM VNPT MONEY MANG TẾT VỀ""",https://vnptpay.vn/web/khuyenmai/congbogameTet2023
06/03/2023 - 08/03/2023,VNPT MONEY x BAMBOO: MỪNG NGÀY PHÁI ĐẸP - GỬI LỜI YÊU THƯƠNG,https://vnptpay.vn/web/khuyenmai/bamboo_08032023
03/03/2023 - 31/03/2023,SĂN VÉ GIỜ VÀNG - GIẢM NGAY 10%,https://vnptpay.vn/web/khuyenmai/vnathu6
01/03/2023 - 31/03/2023,MỞ VNPT MONEY LÀ CÓ QUÀ - NHẬN COMBO ƯU ĐÃI 200K++,https://vnptpay.vn/web/khuyenmai/combot3
01/03/2023 - 13/03/2023,VNPT MONEY TUNG ƯU ĐÃI ĐỘC QUYỀN GIẢM TỚI 50% KHI MUA HÀNG TRÊN LAZADA,https://vnptpay.vn/web/khuyenmai/lazada_032023
15/02/2023 - 31/12/2023,BAY VIETNAM AIRLINES CHỈ TỪ 109K,https://vnptpay.vn/web/khuyenmai/vmb_chitu109k
15/02/2023 - 31/12/2023,THỂ LỆ CHƯƠNG TRÌNH “FAMILY FARE”,https://vnptpay.vn/web/khuyenmai/vmb_familyfare
18/02/2023 - 31/12/2023,THỂ LỆ CHƯƠNG TRÌNH “WEEKEND SALES START”,https://vnptpay.vn/web/khuyenmai/vmb_weekend
15/02/2023 - 31/12/2023,THỂ LỆ CHƯƠNG TRÌNH “THỨ 5 RỰC RỠ”,https://vnptpay.vn/web/khuyenmai/vmb_thu5
24/02/2023 - 30/04/2023,Thanh toán viện phí tiết kiệm hơn với VNPT Money,https://vnptpay.vn/web/khuyenmai/BV_Q12023
22/02/2023,NẠP THẺ GAME GARENA - CHỌN NGAY VNPT MONEY,https://vnptpay.vn/web/khuyenmai/garena
10/02/2023 - 14/02/2023,BAY ĐÔI ƯU ĐÃI CẶP - GIẢM 10% KHI ĐẶT VÉ BAMBOO,https://vnptpay.vn/web/khuyenmai/bamboo_022023
31/01/2023,"	Đón thần tài cùng VNPT Money: Tưng bừng năm mới với ngàn phần quà lộc phát tổng giá trị 1,5 tỷ đồng",https://vnptpay.vn/web/khuyenmai/vnptmoneydonthantai2023
13/01/2023,TRẢI NGHIỆM LÌ XÌ TẾT QUÝ MÃO 2023 TRÊN VNPT MONEY,https://vnptpay.vn/web/khuyenmai/lixi2023
13/01/2023 - 12/02/2023,CHẠM VNPT MONEY MANG TẾT VỀ,https://km.vnptmoney.vn/TET2023
07/01/2023 - 28/02/2023,Bạn là ai khi nạp điện thoại,https://vnptpay.vn/web/khuyenmai/banlaai_012023
04/01/2023 - 20/01/2023,TẾT 2023 BUNG XÕA VỚI LAZADA - TỔNG GIÁ TRỊ QUÀ TẶNG LÊN ĐẾN 200 TRIỆU,https://vnptpay.vn/web/khuyenmai/LazadaKM_012023
06/01/2023 - 31/03/2023,Ưu đãi tới 50% mua gói cước MyTV qua VNPT Money,https://vnptpay.vn/web/khuyenmai/mytv_122022
07/01/2023 - 31/03/2023,Mở VNPT Money - Nhận quà như ý,https://vnptpay.vn/web/khuyenmai/momoi_012023
22/12/2022,CHƠI MÊ SAY - NẠP LIỀN TAY QUA VNPT MONEY,https://vnptpay.vn/web/khuyenmai/VNG
01/12/2022 - 31/12/2022,Thêm tiền sắm Tết - Xua hết âu lo,https://vnptpay.vn/web/khuyenmai/SHB_122022
15/08/2022 - 05/02/2023,COMBO ƯU ĐÃI VÉ MÁY BAY LÊN TỚI 4 TRIỆU ĐỒNG,https://vnptpay.vn/web/khuyenmai/combovmb
16/12/2022 - 31/01/2023,NẠP ĐIỆN THOẠI TỰ ĐỘNG HOÀN TỚI 15K,https://vnptpay.vn/web/khuyenmai/autopay_122022
05/12/2022 - 31/12/2022,VNPT MONEY x LAZADA: KHUYẾN MÃI KHỦNG - MỪNG CUỐI NĂM,https://vnptpay.vn/web/khuyenmai/LazadaKM_122022
01/12/2022 - 20/12/2022,Mở và liên kết tài khoản Sacombank với VNPT Money - Nhận ngay 50.000đ,https://vnptpay.vn/web/khuyenmai/scb_122022
09/12/2022 - 31/01/2023,"Ưu đãi 20% nạp tài khoản VETC, ePass trên VNPT Money",https://vnptpay.vn/web/khuyenmai/vetc
02/12/2022 - 22/12/2022,Tặng 100.000đ tiêu dùng trên VNPT Money,https://vnptpay.vn/web/khuyenmai/vc100k_112022
28/11/2022 - 04/12/2022,BAY BAMBOO - GIẢM TỚI 20%,https://vnptpay.vn/web/khuyenmai/bamboo_112022
20/11/2022 - 31/01/2023,Tặng 200.000đ mua vé máy bay trên VNPT Money,https://vnptpay.vn/web/khuyenmai/vmb_112022
01/12/2022 - 31/12/2022,COMBO ƯU ĐÃI 2 TRIỆU++ TỪ VNPT MONEY: THANH TOÁN KHỎE RE - HÓA ĐƠN SIÊU RẺ,https://vnptpay.vn/web/khuyenmai/combo2M
11/11/2022 - 27/12/2022,Nộp học liền tay – Hoàn ngay 20.000đ,https://vnptpay.vn/web/khuyenmai/hocphi_112022
07/11/2022 - 30/11/2022,VNPT MONEY x LAZADA: ƯU ĐÃI ĐỘC QUYỀN GIẢM TỚI 50%,https://vnptpay.vn/web/khuyenmai/LazadaKM_112022
04/11/2022 - 31/01/2023,Tặng 50.000đ khi nạp tiền Mobile Money tại Điểm F88,https://vnptpay.vn/web/khuyenmai/f88_112022
01/11/2022 - 30/11/2022,Mua sắm thả ga - Không lo kẹt ví,https://vnptpay.vn/web/khuyenmai/SHB_112022
15/10/2022 - 30/10/2022,Bay cùng VNPT Money – Nhận quà Tết,https://vnptpay.vn/web/khuyenmai/vmb_102022
21/10/2022 - 31/12/2022,Mời bạn mới ngay – Nhận quà liền tay với VNPT Money,https://vnptpay.vn/web/khuyenmai/moimovi
18/10/2022 - 31/12/2022,BẠN LÀ AI KHI NẠP ĐIỆN THOẠI,https://vnptpay.vn/web/khuyenmai/banlaai
17/10/2022 - 30/10/2022,Bay Vietjet - Nhận quà Tết,https://vnptpay.vn/web/khuyenmai/vietjet50k_102022
20/10/2022 - 15/12/2022,Tặng 30.000đ thanh toán hoá đơn VNPT,https://vnptpay.vn/web/khuyenmai/HD_102022
09/10/2022 - 31/10/2022,Cùng VNPT Money đi chợ trên Sendo Farm,https://vnptpay.vn/web/khuyenmai/SendoFarm
12/10/2022 - 31/10/2022,Mua quà tặng nàng – Hoàn tiền dễ dàng,https://vnptpay.vn/web/khuyenmai/SHB_102022
08/10/2022 - 31/10/2022,[10.10] MỪNG NGÀY SÓNG ĐÔI - TUNG QUÀ GẤP BỘI,https://vnptpay.vn/web/khuyenmai/LazadaKM_102022
01/10/2022 - 10/10/2022,TẶNG 30 NGÀY TRẢI NGHIỆM HBOGO TRÊN MYTV,https://vnptpay.vn/web/khuyenmai/MyTV_HBOGO
01/10/2022 - 30/10/2022,GIẢM 50% GÓI CƯỚC MYTV,https://vnptpay.vn/web/khuyenmai/MyTV50
07/10/2022 - 25/12/2022,HƯỞNG ỨNG NGÀY CHUYỂN ĐỔI SỐ QUỐC GIA: Mở VNPT Money - Nhận quà như ý,https://vnptpay.vn/web/khuyenmai/newuser_092022
30/09/2022,HƯỚNG DẪN CHUYỂN - NHẬN TIỀN QUA VIETQR VỚI VNPT MONEY,https://vnptpay.vn/web/khuyenmai/VietQR_HD
16/09/2022 - 15/10/2022,“AN TÂM MUA VÉ TẾT” CỦA BAMBOO,https://vnptpay.vn/web/khuyenmai/bamboo_092022
01/09/2022 - 30/11/2022,Giảm tới 47% khoá học ELSA trên VNPT Money,https://vnptpay.vn/web/khuyenmai/elsa_092022
21/10/2022 - 30/11/2022,Thanh toán QR nhận ngay quà,https://vnptpay.vn/web/khuyenmai/QR_092022
15/09/2022 - 20/12/2022,BAY THƯƠNG GIA - GIẢM NỬA GIÁ TRÊN VNPT MONEY,https://vnptpay.vn/web/khuyenmai/vietjet_092022
15/09/2022,Xổ số quay nhanh trên điện thoại Bingo18 đã có trên ứng dụng VNPT Money ,https://vnptpay.vn/web/khuyenmai/bingo18
05/09/2022,VNPT Money giải pháp thanh toán học phí nhiều tiện ích trên vnEdu Connect,https://vnptpay.vn/web/khuyenmai/vnedu
06/09/2022,Hướng dẫn liên kết và thanh toán qua VNPT Money trên Lazada,https://vnptpay.vn/web/khuyenmai/lazadaHD
09/09/2022 - 30/11/2022,VNPT Money & Lazada: Mừng ngày sóng đôi - Tung quà gấp bội,https://vnptpay.vn/web/khuyenmai/LazadaKM_092022
18/08/2022 - 30/11/2022,COMBO ƯU ĐÃI LÊN TỚI 4 TRIỆU TỪ BAMBOO,https://vnptpay.vn/web/khuyenmai/comboBamboo
24/08/2022,Cách nộp phí xét tuyển ĐH – CĐ 2022 trực tuyến qua VNPT Money,https://vnptpay.vn/web/khuyenmai/phixettuyenĐH
18/08/2022 - 06/09/2022,Chào mừng Quốc khánh 2-9 - Bamboo giảm 29% cho nhóm 02 khách trở lên,https://vnptpay.vn/web/khuyenmai/Bamboo29
25/07/2022 - 31/08/2022,Gom chung thắng lớn cùng Bamboo,https://vnptpay.vn/web/khuyenmai/bamboo_082022
18/08/2022 - 30/09/2022,Vay liền - Được tiền 200.000đ,https://vnptpay.vn/web/khuyenmai/SHBFC_082022
10/08/2022 - 18/08/2022,Bay sinh nhật - Nhận quà tri ân,https://vnptpay.vn/web/khuyenmai/Bamboo_082022
12/08/2022 - 30/09/2022,Nộp học liền tay – Hoàn ngay 20.000đ,https://vnptpay.vn/web/khuyenmai/hocphi_082022
19/08/2022 - 19/09/2022,Mua xăng tiết kiệm với VNPT Money,https://vnptpay.vn/web/khuyenmai/PVOil_072022
05/08/2022 - 30/09/2022,Tặng 50.000đ khi nạp tiền Mobile Money tại Điểm F88,https://vnptpay.vn/web/khuyenmai/F88_072022
29/09/2022 - 31/12/2022,"Giới thiệu hăng say, nhận ngay quà khủng",https://vnptpay.vn/web/khuyenmai/Vietlott_062022
13/07/2022,"VNPT Money cung cấp dịch vụ Nạp, rút tiền mặt từ Mobile Money tại hơn 700 điểm kinh doanh F88 ",https://vnptpay.vn/web/khuyenmai/F88
13/07/2022 - 07/08/2022,"Bay Vietjet, giảm tới 20%",https://vnptpay.vn/web/khuyenmai/VMB_072022
